DT,OPEN,HIGH,LOW,CLOSE,AMT,CLOSE多头排列信号,CLOSE空头排列信号,CLOSE_RSI2>80,CLOSE_RSI2<20,CLOSE_RSI3>80,CLOSE_RSI3<20,CLOSE_RSI14>80,CLOSE_RSI14<20,CLOSE_aboveMA5,CLOSE_aboveMA10,CLOSE_aboveMA40,CLOSE_aboveMA200,神奇九转_高9,神奇九转_低9,bband_up_break,bband_down_break,Dir,Value,found,近60bar最大下行超10,低点抬高,大阳线,大阴线,上涨3,下跌3,当前K线低点>昨天低点,当前K线高点>昨天高点,当前K线开盘介于昨天开盘和收盘之间,阳线,阴线,收盘明显高于最低,明显下引线,跳空后缺口不封闭,当前K线最高价<长下引线阴线最高价,当前K线最低价<长下引线阴线后所有线最低价,连续3天以上阴线且最高最低下移,长下引线阴线后所有线最高价<前一根最高价,长下引线阴线后第二根线最低价>下引线最低价,检测到低点后高点到低点下降10,检测到低点后当前点高于最低点,检测到低点后当前点被前高支撑,检测到低点后和前最低点靠近,检测到低点后除去最低后还有相近低点,检测到低点后除去最低后还有2上相近低点,检测到低点后当前低点在之前的下引线附近,检测到低点后高点在之前最低点的左侧,检测到低点后和前最低相隔>=5K线,检测到低点后和前最低相隔>=10K线
2015-12-15,223.45,224.5,221.58,221.8,12148968440,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-12-16,222.2,222.69,221.33,222.18,6337696820,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2015-12-17,222.0,224.2,222.0,223.12,13921853260,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,,,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2015-12-18,222.96,223.17,220.2,221.31,17257782120,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,224.48,2015-12-07,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
2015-12-21,221.28,224.08,220.98,223.64,12424095120,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,,,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015-12-22,224.2,225.46,223.15,224.98,15457006380,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,-1.0,221.31,2015-12-18,True,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True
2015-12-23,224.99,225.7,224.0,224.39,7767521480,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2015-12-24,224.5,224.78,223.7,224.6,4466077940,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2015-12-25,224.48,225.18,224.25,224.9,2908461900,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,,,,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2015-12-28,225.0,225.23,223.9,224.53,6601482360,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
